year,month,day,rh,precip,tmean,tmax,tmin,date
2003,4,8,64.3,0.0,11.7,16.2,6.0,2003-04-08
2003,4,9,53.5,0.0,9.9,15.0,1.2,2003-04-09
2003,4,10,65.3,3.4,9.3,15.4,1.8,2003-04-10
2003,4,11,66.9,0.3,10.3,14.4,4.0,2003-04-11
2003,4,12,74.6,0.6,9.8,14.0,4.2,2003-04-12
2003,4,13,58.2,0.0,10.1,15.0,2.0,2003-04-13
2003,4,14,60.3,0.0,10.3,14.8,2.8,2003-04-14
2003,4,15,65.3,,10.1,15.0,4.6,2003-04-15
2003,4,16,68.7,1.6,9.9,16.6,3.2,2003-04-16
2003,4,17,58.4,0.0,10.9,16.0,4.0,2003-04-17
2003,4,18,44.9,0.0,9.9,17.0,-0.2,2003-04-18
2003,4,19,53.1,0.0,9.7,16.6,-0.6,2003-04-19
2003,4,20,53.7,0.0,11.1,16.8,3.0,2003-04-20
2003,4,21,53.8,0.0,10.5,15.8,2.2,2003-04-21
2003,4,22,59.7,28.0,10.9,15.4,4.2,2003-04-22
2003,4,23,68.8,,9.9,14.4,3.6,2003-04-23
2003,4,24,70.9,1.8,9.8,15.0,5.0,2003-04-24
2003,4,25,53.6,0.0,12.2,16.0,4.0,2003-04-25
2003,4,26,63.4,0.0,10.6,16.4,3.6,2003-04-26
2003,4,27,62.7,0.0,11.3,17.0,3.4,2003-04-27
2003,4,28,58.4,0.0,10.6,16.2,2.6,2003-04-28
2003,4,29,58.8,0.0,10.3,16.2,1.6,2003-04-29
2003,4,30,58.0,0.0,11.2,16.8,2.2,2003-04-30
2003,5,1,63.5,0.0,10.3,16.0,2.6,2003-05-01
2003,5,2,57.6,0.0,10.5,15.4,2.6,2003-05-02
2003,5,3,58.5,,10.8,16.2,2.6,2003-05-03
2003,5,4,58.3,0.0,10.2,16.0,1.4,2003-05-04
2003,5,5,61.2,0.0,9.9,16.4,1.2,2003-05-05
2003,5,6,49.6,0.0,10.9,16.0,2.8,2003-05-06
2003,5,7,61.1,0.0,9.1,15.0,1.0,2003-05-07
2003,5,8,49.5,0.0,10.7,15.2,2.2,2003-05-08
2003,5,9,59.0,0.0,9.7,15.0,1.8,2003-05-09
2003,5,10,53.0,0.0,9.7,15.0,0.6,2003-05-10
2003,5,11,54.6,1.4,9.9,14.8,1.4,2003-05-11
2003,5,12,58.5,2.5,8.9,14.8,1.6,2003-05-12
2003,5,13,62.5,14.7,9.1,14.0,3.8,2003-05-13
2003,5,14,61.7,0.0,9.3,14.0,2.0,2003-05-14
2003,5,15,68.4,0.0,10.1,14.4,4.6,2003-05-15
2003,5,16,,1.5,,14.6,3.8,2003-05-16
2003,5,17,69.1,12.8,9.4,13.2,3.8,2003-05-17
2003,5,18,67.3,3.8,9.2,12.6,3.4,2003-05-18
2003,5,19,65.1,,9.5,15.4,3.2,2003-05-19
2003,5,20,66.5,0.0,8.7,13.4,4.0,2003-05-20
2003,5,21,61.3,0.0,7.5,13.0,1.0,2003-05-21
2003,5,22,52.3,0.0,8.4,15.4,-1.0,2003-05-22
2003,5,23,54.4,0.0,7.9,14.6,-0.6,2003-05-23
2003,5,24,48.4,0.0,8.3,15.0,0.6,2003-05-24
2003,5,25,53.1,0.0,7.3,13.2,0.0,2003-05-25
2003,5,26,50.1,0.0,7.3,15.0,-0.4,2003-05-26
2003,5,27,55.1,0.0,6.8,14.2,-2.2,2003-05-27
2003,5,28,52.3,0.0,6.7,14.0,-1.8,2003-05-28
2003,5,29,55.8,0.0,7.5,14.0,0.0,2003-05-29
2003,5,30,57.5,0.0,7.1,13.4,1.8,2003-05-30
2003,5,31,61.4,0.0,6.9,13.6,-0.4,2003-05-31
2003,6,1,63.3,0.0,6.9,13.6,-0.6,2003-06-01
2003,6,2,65.5,0.0,7.3,14.6,-0.4,2003-06-02
2003,6,3,56.3,0.0,8.4,14.4,-0.6,2003-06-03
2003,6,4,43.7,0.0,9.6,15.8,0.0,2003-06-04
2003,6,5,65.0,0.0,6.7,14.4,-2.0,2003-06-05
2003,6,6,61.4,0.0,6.4,14.0,-2.0,2003-06-06
2003,6,7,52.3,0.0,7.3,14.8,-1.0,2003-06-07
2003,6,8,53.8,0.0,7.2,14.6,-1.0,2003-06-08
2003,6,9,61.3,0.0,7.9,15.0,0.0,2003-06-09
2003,6,10,55.1,0.0,6.9,15.0,-0.2,2003-06-10
2003,6,11,53.7,0.0,7.2,15.0,-1.6,2003-06-11
2003,6,12,54.0,0.0,7.3,14.8,-1.4,2003-06-12
2003,6,13,56.4,0.0,7.0,15.2,-1.0,2003-06-13
2003,6,14,47.6,0.0,8.0,15.0,-1.0,2003-06-14
2003,6,15,51.5,0.0,6.8,15.2,-1.6,2003-06-15
2003,6,16,48.8,0.0,7.7,15.4,-1.2,2003-06-16
2003,6,17,52.0,0.0,6.7,14.4,-1.2,2003-06-17
2003,6,18,59.6,0.0,5.6,13.0,-2.0,2003-06-18
2003,6,19,58.0,4.8,5.9,11.0,-1.8,2003-06-19
2003,6,20,74.8,0.0,5.2,11.6,1.2,2003-06-20
2003,6,21,51.9,0.0,6.3,12.6,-1.8,2003-06-21
2003,6,22,55.2,0.0,6.0,13.4,-2.0,2003-06-22
2003,6,23,60.8,0.0,4.3,13.6,-2.8,2003-06-23
2003,6,24,56.9,0.0,5.6,13.8,-2.4,2003-06-24
2003,6,25,60.4,0.0,5.2,13.0,-2.2,2003-06-25
2003,6,26,60.8,0.0,5.5,13.2,-2.2,2003-06-26
2003,6,27,61.6,0.0,5.5,13.0,-2.0,2003-06-27
2003,6,28,58.2,0.0,5.7,12.6,-2.6,2003-06-28
2003,6,29,62.5,0.0,5.7,13.4,-1.6,2003-06-29
2003,6,30,65.6,0.0,5.9,13.0,-1.0,2003-06-30
2003,7,1,45.0,0.0,8.0,15.0,-2.0,2003-07-01
2003,7,2,57.1,0.0,6.1,13.0,-2.4,2003-07-02
2003,7,3,57.6,0.0,6.7,13.8,-0.6,2003-07-03
2003,7,4,55.8,0.0,7.5,14.4,-1.0,2003-07-04
2003,7,5,60.0,0.0,5.5,12.6,-1.0,2003-07-05
2003,7,6,55.0,0.0,5.4,12.6,-3.6,2003-07-06
2003,7,7,56.6,0.0,4.7,13.6,-4.0,2003-07-07
2003,7,8,57.7,0.0,5.7,14.8,-3.4,2003-07-08
2003,7,9,55.5,0.0,5.9,14.4,-3.2,2003-07-09
2003,7,10,61.7,0.0,6.2,14.8,-1.6,2003-07-10
2003,7,11,53.7,0.0,7.3,14.8,-2.0,2003-07-11
2003,7,12,55.9,0.0,7.9,14.6,-1.0,2003-07-12
2003,7,13,53.9,0.0,8.5,15.8,-0.2,2003-07-13
2003,7,14,54.4,0.0,8.3,16.6,-0.2,2003-07-14
2003,7,15,56.2,0.0,6.2,14.8,-1.8,2003-07-15
2003,7,16,65.8,0.0,6.8,14.0,-0.8,2003-07-16
2003,7,17,73.3,,7.3,13.0,0.6,2003-07-17
2003,7,18,66.2,0.0,6.7,13.0,-0.4,2003-07-18
2003,7,19,74.7,0.0,5.9,14.4,-1.2,2003-07-19
2003,7,20,48.9,0.0,9.1,16.8,-1.8,2003-07-20
2003,7,21,57.4,0.0,8.7,16.6,-0.2,2003-07-21
2003,7,22,53.8,0.0,8.6,15.4,-1.0,2003-07-22
2003,7,23,46.4,0.0,7.7,14.4,-1.4,2003-07-23
2003,7,24,57.4,0.0,8.0,15.0,-0.8,2003-07-24
2003,7,25,72.0,,6.2,14.0,-0.4,2003-07-25
2003,7,26,57.0,0.2,8.9,16.6,1.6,2003-07-26
2003,7,27,57.3,,9.0,15.6,0.6,2003-07-27
2003,7,28,55.6,0.0,8.7,15.4,0.6,2003-07-28
2003,7,29,64.3,0.0,7.7,14.2,0.4,2003-07-29
2003,7,30,62.5,0.0,7.5,12.4,0.6,2003-07-30
2003,7,31,58.6,0.0,7.0,13.6,-1.6,2003-07-31
2003,8,1,62.4,0.0,7.3,14.2,-1.0,2003-08-01
2003,8,2,61.7,4.0,7.7,13.8,0.4,2003-08-02
2003,8,3,63.1,,7.8,14.0,1.0,2003-08-03
2003,8,4,57.4,0.0,8.9,15.2,4.0,2003-08-04
2003,8,5,51.4,0.0,8.1,14.4,-0.2,2003-08-05
2003,8,6,45.7,0.0,9.7,16.0,-1.4,2003-08-06
2003,8,7,63.5,0.0,7.3,13.6,-0.2,2003-08-07
2003,8,8,64.1,2.2,7.3,12.6,-0.2,2003-08-08
2003,8,9,,0.5,,9.8,3.0,2003-08-09
2003,8,10,77.1,1.7,6.5,14.6,1.6,2003-08-10
2003,8,11,55.2,0.0,8.0,15.2,-0.6,2003-08-11
2003,8,12,57.2,0.0,8.1,15.0,-1.2,2003-08-12
2003,8,13,56.1,0.0,7.7,15.0,-1.6,2003-08-13
2003,8,14,52.5,0.0,8.0,15.0,-2.0,2003-08-14
2003,8,15,66.8,0.0,7.0,15.4,-2.4,2003-08-15
2003,8,16,59.7,0.0,6.6,14.0,-1.2,2003-08-16
2003,8,17,55.8,0.0,8.3,15.2,-2.0,2003-08-17
2003,8,18,58.4,0.0,7.1,14.0,-1.0,2003-08-18
2003,8,19,55.8,0.0,8.3,15.4,-1.2,2003-08-19
2003,8,20,49.4,0.0,9.4,16.2,-0.8,2003-08-20
2003,8,21,52.7,0.0,8.3,16.2,-0.8,2003-08-21
2003,8,22,54.2,0.0,8.7,16.4,-0.6,2003-08-22
2003,8,23,48.4,0.0,9.3,16.2,-0.2,2003-08-23
2003,8,24,51.8,0.0,9.7,15.0,1.0,2003-08-24
2003,8,25,50.9,0.0,10.5,17.2,1.2,2003-08-25
2003,8,26,60.5,0.0,10.0,16.0,1.0,2003-08-26
2003,8,27,64.4,1.2,11.0,16.2,5.0,2003-08-27
2003,8,28,63.4,0.0,8.7,15.6,0.8,2003-08-28
2003,8,29,57.6,0.0,7.3,15.4,-2.4,2003-08-29
2003,8,30,76.5,0.0,6.1,14.4,-2.0,2003-08-30
2003,8,31,57.7,,9.1,16.4,0.0,2003-08-31
2003,9,1,52.7,0.0,9.8,15.8,1.4,2003-09-01
2003,9,2,61.2,1.4,8.7,14.8,0.6,2003-09-02
2003,9,3,62.2,,9.1,14.4,-4.0,2003-09-03
2003,9,4,57.3,0.0,9.6,14.8,0.4,2003-09-04
2003,9,5,66.3,4.2,10.3,14.8,3.6,2003-09-05
2003,9,6,67.2,,9.5,14.6,1.6,2003-09-06
2003,9,7,50.4,0.0,9.7,15.6,0.0,2003-09-07
2003,9,8,49.5,0.0,8.4,14.6,-1.2,2003-09-08
2003,9,9,50.9,0.0,9.6,15.0,-1.0,2003-09-09
2003,9,10,62.4,0.0,8.5,15.8,-1.0,2003-09-10
2003,9,11,67.4,0.8,8.7,13.0,3.6,2003-09-11
2003,9,12,58.1,0.0,8.3,14.0,-0.2,2003-09-12
2003,9,13,48.3,0.0,9.3,14.6,-1.0,2003-09-13
2003,9,14,66.9,,9.5,13.8,3.0,2003-09-14
2003,9,15,63.2,0.1,10.1,16.0,3.0,2003-09-15
2003,9,16,63.0,0.0,9.9,14.8,1.8,2003-09-16
2003,9,17,47.5,0.0,10.7,16.0,1.6,2003-09-17
2003,9,18,45.1,0.0,10.7,16.4,1.4,2003-09-18
2003,9,19,51.8,0.0,10.1,16.0,0.6,2003-09-19
2003,9,20,58.5,,10.6,15.4,2.2,2003-09-20
2003,9,21,55.9,11.0,10.9,15.8,2.2,2003-09-21
2003,9,22,69.2,0.1,10.0,15.6,4.0,2003-09-22
2003,9,23,,24.8,,13.4,4.0,2003-09-23
2003,9,24,70.0,0.5,9.8,15.4,3.4,2003-09-24
2003,9,25,44.1,0.0,9.7,15.4,0.4,2003-09-25
2003,9,26,43.3,0.0,8.6,14.6,-1.2,2003-09-26
2003,9,27,49.0,0.0,10.7,16.4,-0.2,2003-09-27
2003,9,28,45.6,0.0,10.2,16.0,-0.4,2003-09-28
2003,9,29,49.7,0.0,10.7,16.6,2.0,2003-09-29
2003,9,30,47.1,0.0,11.5,16.6,3.0,2003-09-30
2003,10,1,53.9,0.0,11.5,16.6,2.6,2003-10-01
2003,10,2,60.8,11.1,10.9,16.0,3.4,2003-10-02
2003,10,3,75.1,1.3,9.7,14.8,3.6,2003-10-03
2003,10,4,65.5,0.0,10.7,16.2,4.0,2003-10-04
2003,10,5,44.6,0.0,11.7,15.8,1.4,2003-10-05
2003,10,6,52.2,0.0,10.7,15.8,1.0,2003-10-06
2003,10,7,41.5,0.0,9.3,14.2,-1.0,2003-10-07
2003,10,8,41.0,0.0,11.7,16.6,0.8,2003-10-08
2003,10,9,39.3,0.0,11.9,16.4,1.0,2003-10-09
2003,10,10,45.0,0.0,12.1,16.6,2.0,2003-10-10
2003,10,11,57.8,,10.8,14.6,4.8,2003-10-11
2003,10,12,61.5,,12.2,17.6,5.0,2003-10-12
2003,10,13,61.9,0.0,11.6,17.0,4.8,2003-10-13
2003,10,14,44.3,0.0,11.3,16.2,2.2,2003-10-14
2003,10,15,46.3,0.0,12.2,17.2,1.4,2003-10-15
2003,10,16,45.6,0.0,12.5,17.2,3.0,2003-10-16
2003,10,17,,0.0,,17.6,3.0,2003-10-17
2003,10,18,40.7,0.0,12.0,17.4,2.2,2003-10-18
2003,10,19,47.5,0.0,12.3,18.2,3.0,2003-10-19
2003,10,20,44.2,0.0,13.1,18.2,2.4,2003-10-20
2003,10,21,41.8,0.0,13.3,18.4,4.4,2003-10-21
2003,10,22,45.3,0.0,13.3,18.4,3.4,2003-10-22
2003,10,23,56.0,,13.3,19.4,6.8,2003-10-23
2003,10,24,,4.3,,20.2,6.4,2003-10-24
2003,10,25,51.6,,13.9,18.8,5.8,2003-10-25
2003,10,26,51.4,0.0,12.6,17.0,5.0,2003-10-26
2003,10,27,55.0,,12.5,17.6,4.0,2003-10-27
2003,10,28,71.1,4.5,10.3,13.8,5.0,2003-10-28
2003,10,29,78.6,3.7,9.9,15.2,5.0,2003-10-29
2003,10,30,74.9,0.5,10.1,13.0,4.4,2003-10-30
2003,10,31,59.0,0.0,10.5,16.6,3.4,2003-10-31
2003,11,1,61.1,0.4,11.5,17.0,5.0,2003-11-01
2003,11,2,64.7,,10.7,16.8,4.4,2003-11-02
2003,11,3,55.7,0.0,12.3,17.4,4.2,2003-11-03
2003,11,4,52.4,0.0,12.7,18.0,2.0,2003-11-04
2003,11,5,48.7,0.0,11.1,17.2,-0.2,2003-11-05
2003,11,6,47.1,0.0,11.9,16.2,1.0,2003-11-06
2003,11,7,47.5,0.0,12.7,17.8,3.2,2003-11-07
2003,11,8,52.4,0.0,12.8,18.2,3.8,2003-11-08
2003,11,9,49.7,0.0,13.5,18.8,5.2,2003-11-09
2003,11,10,75.8,2.9,10.3,16.0,5.2,2003-11-10
2003,11,11,67.8,0.0,11.1,16.0,4.8,2003-11-11
2003,11,12,43.6,,13.2,17.2,4.0,2003-11-12
2003,11,13,,2.2,,17.4,4.4,2003-11-13
2003,11,14,60.2,,12.2,18.2,5.4,2003-11-14
2003,11,15,52.9,0.0,13.3,19.0,5.0,2003-11-15
2003,11,16,46.2,0.0,13.3,19.2,2.6,2003-11-16
2003,11,17,42.5,0.0,12.3,17.4,2.6,2003-11-17
2003,11,18,35.3,0.0,12.2,18.6,0.2,2003-11-18
2003,11,19,39.8,0.0,14.4,20.0,3.4,2003-11-19
2003,11,20,,0.0,,17.6,6.0,2003-11-20
2003,11,21,54.2,0.0,12.6,17.8,6.0,2003-11-21
2003,11,22,46.2,0.0,13.7,18.0,4.8,2003-11-22
2003,11,23,52.6,0.0,13.7,19.8,5.8,2003-11-23
2003,11,24,47.8,0.0,14.9,20.4,8.0,2003-11-24
2003,11,25,46.9,0.0,14.1,19.2,5.8,2003-11-25
2003,11,26,,2.6,,19.6,6.0,2003-11-26
2003,11,27,,0.5,,20.2,6.8,2003-11-27
2003,11,28,63.1,0.0,12.1,17.6,6.4,2003-11-28
2003,11,29,51.8,0.0,14.0,18.4,4.0,2003-11-29
2003,11,30,51.4,0.0,14.3,19.0,5.4,2003-11-30
2003,12,1,,0.0,,19.4,8.0,2003-12-01
2003,12,2,53.1,0.0,13.8,20.8,5.2,2003-12-02
2003,12,3,44.5,0.0,13.5,19.6,2.6,2003-12-03
2003,12,4,52.1,0.0,12.8,17.0,6.6,2003-12-04
2003,12,5,52.1,0.0,13.7,18.8,6.6,2003-12-05
2003,12,6,,0.0,,18.4,5.8,2003-12-06
2003,12,7,50.1,0.0,14.8,20.4,6.0,2003-12-07
2003,12,8,,,,21.4,7.0,2003-12-08
2003,12,9,,4.2,,19.2,6.4,2003-12-09
2003,12,10,57.5,0.0,13.0,18.8,5.0,2003-12-10
2003,12,11,,0.0,,19.2,4.0,2003-12-11
2003,12,12,,4.0,,17.6,7.2,2003-12-12
2003,12,13,74.0,2.0,11.7,17.4,6.8,2003-12-13
2003,12,14,52.9,0.0,13.9,19.2,3.6,2003-12-14
2003,12,15,53.8,4.9,13.7,19.0,4.2,2003-12-15
2003,12,16,71.6,8.0,12.0,18.4,7.8,2003-12-16
2003,12,17,69.3,3.8,12.1,17.0,7.2,2003-12-17
2003,12,18,60.7,21.2,13.0,17.4,5.8,2003-12-18
2003,12,19,68.0,26.2,12.1,17.8,4.2,2003-12-19
2003,12,20,75.3,4.5,10.9,15.8,4.8,2003-12-20
2003,12,21,,,,18.0,6.4,2003-12-21
2003,12,22,59.3,0.0,13.7,19.6,4.8,2003-12-22
2003,12,23,70.5,5.2,11.6,15.4,6.8,2003-12-23
2003,12,24,75.9,12.0,10.6,15.2,5.4,2003-12-24
2003,12,25,79.3,16.0,10.7,15.8,4.0,2003-12-25
2003,12,26,78.0,0.6,10.5,15.6,5.8,2003-12-26
2003,12,27,63.7,0.0,12.9,17.6,5.6,2003-12-27
2003,12,28,62.3,2.0,12.0,16.6,6.0,2003-12-28
2003,12,29,,9.9,,15.0,7.6,2003-12-29
2003,12,30,71.5,7.3,11.1,17.0,5.8,2003-12-30
2003,12,31,77.8,0.0,11.1,15.8,5.0,2003-12-31
2004,1,1,,6.4,,15.4,7.8,2004-01-01
2004,1,2,72.1,0.2,11.7,16.2,6.2,2004-01-02
2004,1,3,70.0,4.2,12.5,18.0,7.8,2004-01-03
2004,1,4,67.4,6.1,12.9,18.0,7.6,2004-01-04
2004,1,5,76.2,13.2,10.9,14.4,5.6,2004-01-05
2004,1,6,90.2,13.0,8.3,10.6,6.0,2004-01-06
2004,1,7,79.8,5.8,10.9,13.8,7.0,2004-01-07
2004,1,8,,5.7,,15.6,6.2,2004-01-08
2004,1,9,,5.2,,13.4,6.0,2004-01-09
2004,1,10,80.3,9.9,9.8,13.6,6.6,2004-01-10
2004,1,11,76.6,11.2,10.9,15.0,6.4,2004-01-11
2004,1,12,75.4,6.6,11.5,15.4,7.0,2004-01-12
2004,1,13,74.8,0.2,11.6,15.6,6.6,2004-01-13
2004,1,14,,2.5,,15.0,8.0,2004-01-14
2004,1,15,79.3,16.6,10.4,15.0,7.6,2004-01-15
2004,1,16,82.0,13.1,9.7,13.6,5.0,2004-01-16
2004,1,17,85.3,5.0,9.1,13.8,5.2,2004-01-17
2004,1,18,79.5,2.1,10.3,14.0,6.0,2004-01-18
2004,1,19,75.7,1.8,11.1,15.2,6.8,2004-01-19
2004,1,20,79.5,1.3,10.1,14.0,6.4,2004-01-20
2004,1,21,74.6,7.4,10.7,14.4,7.0,2004-01-21
2004,1,22,81.1,5.5,9.5,14.6,5.0,2004-01-22
2004,1,23,77.5,26.8,9.8,14.8,5.0,2004-01-23
2004,1,24,85.3,2.1,9.9,15.4,4.8,2004-01-24
2004,1,25,80.3,2.8,10.5,15.4,7.0,2004-01-25
2004,1,26,62.3,1.4,12.8,16.4,6.4,2004-01-26
2004,1,27,73.3,1.1,10.4,15.0,6.4,2004-01-27
2004,1,28,86.4,27.8,10.5,15.2,7.6,2004-01-28
2004,1,29,77.7,0.2,10.1,15.0,3.4,2004-01-29
2004,1,30,84.4,3.7,8.9,14.6,6.0,2004-01-30
2004,1,31,78.9,,10.6,15.4,7.0,2004-01-31
2004,2,1,69.2,0.0,12.7,15.6,9.0,2004-02-01
2004,2,2,70.4,0.2,12.9,16.6,8.0,2004-02-02
2004,2,3,76.7,3.3,11.3,16.0,7.0,2004-02-03
2004,2,4,80.1,2.5,10.5,14.6,6.0,2004-02-04
2004,2,5,,15.6,,14.6,8.0,2004-02-05
2004,2,6,79.0,16.4,10.4,14.4,6.2,2004-02-06
2004,2,7,76.2,5.0,10.8,15.8,6.8,2004-02-07
2004,2,8,71.7,8.0,11.8,16.2,7.2,2004-02-08
2004,2,9,79.4,8.8,11.2,15.6,7.0,2004-02-09
2004,2,10,84.6,8.1,9.2,14.8,6.0,2004-02-10
2004,2,11,86.0,24.7,10.0,14.6,6.6,2004-02-11
2004,2,12,84.6,11.0,9.7,15.4,5.6,2004-02-12
2004,2,13,81.1,1.4,11.0,15.4,7.4,2004-02-13
2004,2,14,73.2,2.2,12.0,15.8,6.6,2004-02-14
2004,2,15,,2.7,,16.6,8.0,2004-02-15
2004,2,16,69.5,0.0,12.5,16.8,7.6,2004-02-16
2004,2,17,68.3,0.3,13.0,17.4,6.2,2004-02-17
2004,2,18,,,,16.2,7.4,2004-02-18
2004,2,19,76.5,9.4,10.0,14.0,6.4,2004-02-19
2004,2,20,82.0,4.6,9.7,13.2,5.6,2004-02-20
2004,2,21,74.1,1.0,10.3,14.4,6.0,2004-02-21
