model,n_train,start,seed,mae
Multilayer Perceptron,110,27,3,0.5215075120671947
Multilayer Perceptron,110,27,4,0.5087027470092703
Multiple Linear Regression,120,0,42,0.4404976626587195
Random Forest,120,0,0,0.4801093731024414
Random Forest,120,0,1,0.48021237728354105
Random Forest,120,0,2,0.46807014852331735
Random Forest,120,0,3,0.4781869876408147
Random Forest,120,0,4,0.4827812700624454
Multilayer Perceptron,120,0,0,0.6648537483079305
Multilayer Perceptron,120,0,1,0.854572361092239
Multilayer Perceptron,120,0,2,0.7610847020220076
Multilayer Perceptron,120,0,3,0.6205908081700152
Multilayer Perceptron,120,0,4,0.6962718280461605
Multiple Linear Regression,120,3,42,0.40781507858081395
Random Forest,120,3,0,0.47870878302975434
Random Forest,120,3,1,0.4840521194205063
Random Forest,120,3,2,0.4862018581536678
Random Forest,120,3,3,0.48568325710457816
Random Forest,120,3,4,0.4780059348355548
Multilayer Perceptron,120,3,0,0.641392668967879
Multilayer Perceptron,120,3,1,0.7099653248670501
Multilayer Perceptron,120,3,2,0.6890041226091231
Multilayer Perceptron,120,3,3,0.5343384633024724
Multilayer Perceptron,120,3,4,0.6861581194493696
Multiple Linear Regression,120,6,42,0.4064348096314698
Random Forest,120,6,0,0.4676863188815662
Random Forest,120,6,1,0.46794667512590615
Random Forest,120,6,2,0.48014620710316547
Random Forest,120,6,3,0.48263045902085006
Random Forest,120,6,4,0.4791895376168917
Multilayer Perceptron,120,6,0,0.5094937407741551
Multilayer Perceptron,120,6,1,0.6786701276688144
Multilayer Perceptron,120,6,2,0.6889551700153803
Multilayer Perceptron,120,6,3,0.6051020652201169
Multilayer Perceptron,120,6,4,0.7332136258084764
Multiple Linear Regression,120,10,42,0.42299342539863216
Random Forest,120,10,0,0.47610222254069684
Random Forest,120,10,1,0.4794323320793633
Random Forest,120,10,2,0.4675816683484446
Random Forest,120,10,3,0.47301375162845366
Random Forest,120,10,4,0.4643263221058713
Multilayer Perceptron,120,10,0,0.512217375426261
Multilayer Perceptron,120,10,1,0.6416522750332233
Multilayer Perceptron,120,10,2,0.7788808642737307
Multilayer Perceptron,120,10,3,0.5659224580607456
Multilayer Perceptron,120,10,4,0.9832356449478897
Multiple Linear Regression,120,13,42,0.4279728719636968
Random Forest,120,13,0,0.4749989227120895
Random Forest,120,13,1,0.4738320820951093
Random Forest,120,13,2,0.4665852058679498
Random Forest,120,13,3,0.4633724759717042
Random Forest,120,13,4,0.4743130628883514
Multilayer Perceptron,120,13,0,0.45776783855559106
Multilayer Perceptron,120,13,1,0.511107842012384
Multilayer Perceptron,120,13,2,0.5007928486045353
Multilayer Perceptron,120,13,3,0.48246260387015877
Multilayer Perceptron,120,13,4,0.7086567173196614
Multiple Linear Regression,120,17,42,0.41922574286989045
Random Forest,120,17,0,0.47626598231991435
Random Forest,120,17,1,0.4754379942763687
Random Forest,120,17,2,0.48183480167429493
Random Forest,120,17,3,0.48212303640810844
Random Forest,120,17,4,0.46899627788013076
Multilayer Perceptron,120,17,0,0.44731023526217345
Multilayer Perceptron,120,17,1,0.5109503742631507
Multilayer Perceptron,120,17,2,0.5049227385128061
Multilayer Perceptron,120,17,3,0.5478478908652809
Multilayer Perceptron,120,17,4,0.5592512078950678
Multiple Linear Regression,130,0,42,0.4313204472587288
Random Forest,130,0,0,0.473418011115241
Random Forest,130,0,1,0.4822854689813946
Random Forest,130,0,2,0.4724436431666403
Random Forest,130,0,3,0.4633806521086084
Random Forest,130,0,4,0.46663007781977517
Multilayer Perceptron,130,0,0,0.4543797928813146
Multilayer Perceptron,130,0,1,0.6691493392972411
Multilayer Perceptron,130,0,2,0.7230446425675778
Multilayer Perceptron,130,0,3,0.57818012137232
Multilayer Perceptron,130,0,4,0.6570127973823527
Multiple Linear Regression,130,1,42,0.4323503769205933
Random Forest,130,1,0,0.46521409455590257
Random Forest,130,1,1,0.479097895795391
Random Forest,130,1,2,0.4668815832685723
Random Forest,130,1,3,0.47925727598869056
Random Forest,130,1,4,0.46662348616425264
Multilayer Perceptron,130,1,0,0.45177020733962936
Multilayer Perceptron,130,1,1,0.5068694849634233
Multilayer Perceptron,130,1,2,0.5679541659928894
Multilayer Perceptron,130,1,3,0.4865670712603617
Multilayer Perceptron,130,1,4,0.5046165884759294
Multiple Linear Regression,130,2,42,0.4306025337251354
Random Forest,130,2,0,0.4720286511572556
Random Forest,130,2,1,0.47755817737734907
Random Forest,130,2,2,0.47313272336925555
Random Forest,130,2,3,0.47170784556892403
Random Forest,130,2,4,0.47309565555918565
Multilayer Perceptron,130,2,0,0.5429226946528327
Multilayer Perceptron,130,2,1,0.46290628673751355
Multilayer Perceptron,130,2,2,0.4732511547116471
Multilayer Perceptron,130,2,3,0.4937689404947437
Multilayer Perceptron,130,2,4,0.44788286816271666
Multiple Linear Regression,130,4,42,0.4182678011519007
Random Forest,130,4,0,0.4694680440395378
Random Forest,130,4,1,0.4656168294203371
Random Forest,130,4,2,0.47112260227488584
Random Forest,130,4,3,0.4687009212473825
Random Forest,130,4,4,0.4744548316055177
Multilayer Perceptron,130,4,0,0.48877278095361776
Multilayer Perceptron,130,4,1,0.47032140792737787
Multilayer Perceptron,130,4,2,0.4605681290672077
Multilayer Perceptron,130,4,3,0.47481295928994144
Multilayer Perceptron,130,4,4,0.44211614137860766
Multiple Linear Regression,130,5,42,0.4136056813782963
Random Forest,130,5,0,0.46906669870415557
Random Forest,130,5,1,0.4776751115897322
Random Forest,130,5,2,0.4742330839399793
Random Forest,130,5,3,0.4901243516768727
Random Forest,130,5,4,0.4761723035921832
Multilayer Perceptron,130,5,0,0.4759343316126687
Multilayer Perceptron,130,5,1,0.47683445720699985
Multilayer Perceptron,130,5,2,0.520813622048697
Multilayer Perceptron,130,5,3,0.4788368413514117
Multilayer Perceptron,130,5,4,0.4892570568338254
Multiple Linear Regression,130,7,42,0.41258424166803725
Random Forest,130,7,0,0.47991102395218377
Random Forest,130,7,1,0.4717776061596576
Random Forest,130,7,2,0.48720428012259565
Random Forest,130,7,3,0.48305034044048817
Random Forest,130,7,4,0.4769282860702574
Multilayer Perceptron,130,7,0,0.449383737507915
Multilayer Perceptron,130,7,1,0.478199546429093
Multilayer Perceptron,130,7,2,0.46212358183728214
Multilayer Perceptron,130,7,3,0.5731193828780793
Multilayer Perceptron,130,7,4,0.521669088457135
Multiple Linear Regression,137,0,42,0.42078450874468315
Random Forest,137,0,0,0.4811480560805931
Random Forest,137,0,1,0.47924351598930004
Random Forest,137,0,2,0.47932021987671825
Random Forest,137,0,3,0.47539642463160164
Random Forest,137,0,4,0.4751940240279624
Multilayer Perceptron,137,0,0,0.44094504097824955
Multilayer Perceptron,137,0,1,0.4952034849956358
Multilayer Perceptron,137,0,2,0.4696139195405064
Multilayer Perceptron,137,0,3,0.5302586663490139
Multilayer Perceptron,137,0,4,0.47192497368817105
