model,n_train,start,seed,mae
Random Forest,50,0,3,0.6273732620608959
Random Forest,50,0,4,0.6419068306171535
Multilayer Perceptron,50,0,0,9.006797489009646
Multilayer Perceptron,50,0,1,7.07216471196378
Multilayer Perceptron,50,0,2,8.654788277840652
Multilayer Perceptron,50,0,3,5.176736091548981
Multilayer Perceptron,50,0,4,5.475655831599579
Multiple Linear Regression,50,17,42,1.178415322038989
Random Forest,50,17,0,0.5292066223058632
Random Forest,50,17,1,0.5392594861342576
Random Forest,50,17,2,0.5309523901299794
Random Forest,50,17,3,0.5385897448677709
Random Forest,50,17,4,0.5435349892222565
Multilayer Perceptron,50,17,0,4.158262162121077
Multilayer Perceptron,50,17,1,8.282860850190305
Multilayer Perceptron,50,17,2,8.16585730076048
Multilayer Perceptron,50,17,3,4.004396419992615
Multilayer Perceptron,50,17,4,4.767663534757628
Multiple Linear Regression,50,34,42,0.9624693944946902
Random Forest,50,34,0,0.5446651255757851
Random Forest,50,34,1,0.5509811766233828
Random Forest,50,34,2,0.5483494778077339
Random Forest,50,34,3,0.5462502911059132
Random Forest,50,34,4,0.5302132021422287
Multilayer Perceptron,50,34,0,4.031470151380046
Multilayer Perceptron,50,34,1,4.274359087897855
Multilayer Perceptron,50,34,2,2.4920455221016145
Multilayer Perceptron,50,34,3,2.149683028075339
Multilayer Perceptron,50,34,4,2.7461646494933856
Multiple Linear Regression,50,52,42,0.5577715291736322
Random Forest,50,52,0,0.5137055671070334
Random Forest,50,52,1,0.5102281467142806
Random Forest,50,52,2,0.5104348606646951
Random Forest,50,52,3,0.5202837352325236
Random Forest,50,52,4,0.5180848287807032
Multilayer Perceptron,50,52,0,1.374324970482447
Multilayer Perceptron,50,52,1,1.1738121708435132
Multilayer Perceptron,50,52,2,2.6662134961117183
Multilayer Perceptron,50,52,3,1.4128079256013286
Multilayer Perceptron,50,52,4,1.533364468147897
Multiple Linear Regression,50,69,42,0.5388433782633163
Random Forest,50,69,0,0.5291702610732321
Random Forest,50,69,1,0.5297755380501693
Random Forest,50,69,2,0.5271730268433819
Random Forest,50,69,3,0.5387821989730722
Random Forest,50,69,4,0.5231353463189821
Multilayer Perceptron,50,69,0,1.0507038543527198
Multilayer Perceptron,50,69,1,0.8391605347397353
Multilayer Perceptron,50,69,2,1.4020987501352222
Multilayer Perceptron,50,69,3,1.038774365452996
Multilayer Perceptron,50,69,4,1.2082216445383105
Multiple Linear Regression,50,87,42,0.45828761633901377
Random Forest,50,87,0,0.5572508351803903
Random Forest,50,87,1,0.562774425555959
Random Forest,50,87,2,0.5546812559
Random Forest,50,87,3,0.5602425133880924
Random Forest,50,87,4,0.5550396868364234
Multilayer Perceptron,50,87,0,0.5678409600664692
Multilayer Perceptron,50,87,1,0.6714349141172559
Multilayer Perceptron,50,87,2,0.8515870209859873
Multilayer Perceptron,50,87,3,0.6928028764442824
Multilayer Perceptron,50,87,4,0.6605752309088847
Multiple Linear Regression,60,0,42,0.5959364176352075
Random Forest,60,0,0,0.5710050906340228
Random Forest,60,0,1,0.6116143664868096
Random Forest,60,0,2,0.583990004940705
Random Forest,60,0,3,0.5905078716834639
Random Forest,60,0,4,0.5951101173318786
Multilayer Perceptron,60,0,0,5.953724200887041
Multilayer Perceptron,60,0,1,6.168629609276637
Multilayer Perceptron,60,0,2,9.517453930812197
Multilayer Perceptron,60,0,3,5.48413622320549
Multilayer Perceptron,60,0,4,5.083174992222705
Multiple Linear Regression,60,15,42,1.7688519339685131
Random Forest,60,15,0,0.48315352065244277
Random Forest,60,15,1,0.49699132348530045
Random Forest,60,15,2,0.49871403602204717
Random Forest,60,15,3,0.5045753233576704
Random Forest,60,15,4,0.48282190315746126
Multilayer Perceptron,60,15,0,4.592148151221452
Multilayer Perceptron,60,15,1,6.970525075658478
Multilayer Perceptron,60,15,2,5.1756084967756655
Multilayer Perceptron,60,15,3,4.848865819409526
Multilayer Perceptron,60,15,4,4.71580805219974
Multiple Linear Regression,60,30,42,0.5808432855470905
Random Forest,60,30,0,0.5111338444074964
Random Forest,60,30,1,0.5153636093343636
Random Forest,60,30,2,0.4994106220468228
Random Forest,60,30,3,0.5189776573918164
Random Forest,60,30,4,0.503784843793821
Multilayer Perceptron,60,30,0,2.2736777184440293
Multilayer Perceptron,60,30,1,1.6220359238564352
Multilayer Perceptron,60,30,2,2.243640422362616
Multilayer Perceptron,60,30,3,1.067181779141936
Multilayer Perceptron,60,30,4,4.068774077918712
Multiple Linear Regression,60,46,42,0.4661186087374154
Random Forest,60,46,0,0.5003932880490755
Random Forest,60,46,1,0.49730237973695013
Random Forest,60,46,2,0.5051511235226873
Random Forest,60,46,3,0.47713865786748716
Random Forest,60,46,4,0.4966077663593548
Multilayer Perceptron,60,46,0,1.0086308319507062
Multilayer Perceptron,60,46,1,1.0027291785425554
Multilayer Perceptron,60,46,2,2.5123780553742323
Multilayer Perceptron,60,46,3,0.8496433066547898
Multilayer Perceptron,60,46,4,1.6256288671207801
Multiple Linear Regression,60,61,42,0.4484354441436475
Random Forest,60,61,0,0.5112018700322902
Random Forest,60,61,1,0.5213681370100656
Random Forest,60,61,2,0.5147311969968277
Random Forest,60,61,3,0.5164401198161247
Random Forest,60,61,4,0.5009316646426359
Multilayer Perceptron,60,61,0,0.7249923958221703
Multilayer Perceptron,60,61,1,0.7102300517142268
Multilayer Perceptron,60,61,2,0.8161189690450742
Multilayer Perceptron,60,61,3,0.8868820494285405
Multilayer Perceptron,60,61,4,0.9464581139010965
Multiple Linear Regression,60,77,42,0.42802062791655665
Random Forest,60,77,0,0.5245932766408424
Random Forest,60,77,1,0.5262879204687397
Random Forest,60,77,2,0.5337263235305807
Random Forest,60,77,3,0.5356218125958695
Random Forest,60,77,4,0.5301553989462573
Multilayer Perceptron,60,77,0,0.555944670671527
Multilayer Perceptron,60,77,1,0.6099310147065343
Multilayer Perceptron,60,77,2,0.9954658355125651
Multilayer Perceptron,60,77,3,0.820761422417045
Multilayer Perceptron,60,77,4,0.7141553606732641
Multiple Linear Regression,70,0,42,1.0919740655382824
Random Forest,70,0,0,0.5117227051625581
Random Forest,70,0,1,0.5068826995389226
Random Forest,70,0,2,0.5048511857237122
Random Forest,70,0,3,0.5125067160128995
Random Forest,70,0,4,0.5077398023180425
Multilayer Perceptron,70,0,0,4.348535053241414
Multilayer Perceptron,70,0,1,4.9260690866382095
Multilayer Perceptron,70,0,2,5.548143769359826
Multilayer Perceptron,70,0,3,2.6826278116864444
Multilayer Perceptron,70,0,4,3.778025322840257
Multiple Linear Regression,70,13,42,1.1642931512447994
Random Forest,70,13,0,0.4906466365236862
Random Forest,70,13,1,0.496271338237976
Random Forest,70,13,2,0.4909311574189776
Random Forest,70,13,3,0.4885244709697006
Random Forest,70,13,4,0.4932858475427417
Multilayer Perceptron,70,13,0,2.5974627120466325
Multilayer Perceptron,70,13,1,3.887784942770116
Multilayer Perceptron,70,13,2,2.6196949850434863
Multilayer Perceptron,70,13,3,2.70989070694292
Multilayer Perceptron,70,13,4,3.0391519825480997
Multiple Linear Regression,70,26,42,0.5518630268196105
Random Forest,70,26,0,0.5019728201762583
Random Forest,70,26,1,0.4992627355490412
Random Forest,70,26,2,0.5049336010570037
Random Forest,70,26,3,0.4918457550604837
Random Forest,70,26,4,0.4959654542828675
Multilayer Perceptron,70,26,0,1.132873268390195
Multilayer Perceptron,70,26,1,1.2052085144939362
Multilayer Perceptron,70,26,2,1.2498265875553098
Multilayer Perceptron,70,26,3,0.6687651583869519
Multilayer Perceptron,70,26,4,1.724215224672575
Multiple Linear Regression,70,40,42,0.4520014958091627
Random Forest,70,40,0,0.49390786296327605
Random Forest,70,40,1,0.4942803277530316
Random Forest,70,40,2,0.5013771620344655
Random Forest,70,40,3,0.49829733050347685
Random Forest,70,40,4,0.49374101922896013
Multilayer Perceptron,70,40,0,2.32965532123669
Multilayer Perceptron,70,40,1,0.8459285178260468
Multilayer Perceptron,70,40,2,1.5759585675309067
