ym,tmean_senamhi,tmean_nasa
2003-01-01,11.871869939512312,9.273870967741935
2003-02-01,11.67864006406372,9.050357142857143
2003-03-01,10.854727923268864,8.34
2003-04-01,10.566666666666666,7.852666666666666
2003-05-01,8.955644968149203,6.314838709677419
2003-06-01,6.59,5.300666666666666
2003-07-01,7.216129032258065,4.7054838709677425
2003-08-01,8.23346597768219,5.804838709677419
2003-09-01,9.758764391465622,6.538333333333333
2003-10-01,11.701788245783227,9.063870967741936
2003-11-01,12.742476513524142,9.811666666666667
2003-12-01,12.583034749911912,9.803548387096775
2004-01-01,10.705691463160113,8.791290322580645
2004-02-01,11.471832876859317,9.225172413793102
2004-03-01,11.946501000118388,9.348709677419356
2004-04-01,10.915923527829689,8.969666666666665
2004-05-01,8.903225806451612,5.468064516129032
2004-06-01,7.131754013356173,4.855666666666666
2004-07-01,7.274651298262789,5.049354838709678
2004-08-01,8.458620689655174,6.015806451612904
2004-09-01,10.528378330791933,7.819999999999999
2004-10-01,11.977362487092815,9.198387096774193
2004-12-01,12.86803534237231,10.24709677419355
2005-01-01,12.081070356680096,10.131612903225806
2005-02-01,10.966251236345173,8.961428571428572
2005-03-01,11.735286983933888,9.511290322580646
2005-04-01,11.0704445828337,8.562999999999999
2005-05-01,9.226666666666668,6.973548387096774
2005-06-01,6.59,5.0169999999999995
2005-07-01,7.953333333333333,5.622580645161291
2005-08-01,8.517241379310345,6.199354838709677
2005-09-01,10.195223536540244,6.901666666666667
2005-10-01,11.641948725570549,8.920645161290324
2005-11-01,12.36911804842531,9.535333333333334
2005-12-01,12.430694605384462,9.807741935483872
2006-01-01,10.472784349367888,8.623870967741935
2006-02-01,11.598724772945571,9.563928571428573
2006-03-01,11.16269435445069,9.27258064516129
2006-04-01,10.430580215545222,8.433666666666666
2006-05-01,8.16,6.230645161290322
2006-06-01,7.603448275862069,5.896
2006-07-01,6.73,5.025161290322581
2006-08-01,8.936666666666667,6.632258064516129
2006-09-01,10.339551367214916,7.394666666666667
2006-10-01,11.943020447656972,9.358387096774194
2006-11-01,12.487570687761805,9.760333333333334
2006-12-01,12.466655059930334,10.501290322580646
2007-01-01,12.238877596325024,10.648064516129033
2007-02-01,11.852476436960364,9.776428571428571
2007-03-01,10.609002184948324,9.213870967741935
2007-04-01,10.663453109077556,8.995000000000001
2007-05-01,9.98,7.564193548387097
2007-06-01,8.848148148148148,7.006333333333333
2007-07-01,7.924137931034483,5.201935483870967
2007-08-01,9.74,7.3103225806451615
2007-09-01,10.212901876042732,7.418
2007-10-01,12.001340597490286,9.425806451612903
2007-11-01,11.881333545409555,9.638
2007-12-01,12.14285837593715,9.952903225806452
2008-01-01,10.882268476012234,9.09
2008-02-01,11.404543763801591,8.748965517241379
2008-03-01,11.027588533520047,8.262258064516129
2008-04-01,10.697454403803931,8.299
2008-05-01,8.796666666666665,5.928064516129033
2008-06-01,8.715385661515374,5.385000000000001
2008-07-01,7.367741935483871,5.341290322580646
2008-08-01,8.925806451612903,6.634516129032257
2008-09-01,10.510344827586207,8.049
2008-10-01,11.982739751067603,9.043225806451613
2008-11-01,13.203871199647647,10.439
2008-12-01,11.579255034259958,8.858387096774194
2009-01-01,11.83230634976355,9.35193548387097
2009-02-01,11.349192723387697,9.219285714285714
2009-03-01,11.48311081799882,9.03225806451613
2009-04-01,10.992097724798954,8.083
2009-05-01,9.68198487108613,6.938709677419355
2009-06-01,7.6,4.946
2009-07-01,8.832258064516129,5.214516129032258
2009-08-01,9.1,5.911935483870968
2009-09-01,11.479990664198487,8.532
2009-10-01,12.76399097539187,9.971612903225807
2009-11-01,12.937579732244254,10.785
2009-12-01,13.084609315605505,9.758387096774193
2010-01-01,12.415534624901865,9.94483870967742
2010-02-01,12.306283265475791,10.035
2010-03-01,12.720442751578911,10.166129032258064
2010-04-01,12.17669869656307,9.650333333333332
2010-05-01,10.707545197037756,7.571290322580645
2010-06-01,9.93,7.157333333333333
2010-07-01,8.716129032258063,5.392580645161291
2010-08-01,9.901367952682484,7.395483870967742
2010-09-01,11.623333333333331,8.543666666666667
2010-10-01,12.3129510535265,8.790967741935484
2010-11-01,13.40049985847108,9.724333333333334
2010-12-01,12.13864764069753,9.836451612903225
2011-01-01,12.152092435887166,9.327741935483871
2011-02-01,10.669100461882618,8.561785714285714
2011-03-01,10.773333333333332,8.461612903225806
2011-04-01,11.158620689655171,8.071
2011-05-01,10.00799215004617,6.966451612903226
2011-06-01,8.536666666666667,5.5233333333333325
